Date,OAT (F),Building 7 kW,OAT (C)
1/1/2010 0:00,29.42,34.2,-1.43
1/1/2010 1:00,29.91,45.5,-1.16
1/1/2010 2:00,30.22,42.7,-0.99
1/1/2010 3:00,30.22,43.3,-0.99
1/1/2010 4:00,29.61,45.2,-1.33
1/1/2010 5:00,28.74,47.2,-1.81
1/1/2010 6:00,28.55,44,-1.92
1/1/2010 7:00,25.23,47.3,-3.76
1/1/2010 8:00,25.38,45.4,-3.68
1/1/2010 9:00,27.08,44.7,-2.73
1/1/2010 10:00,32.94,40.8,0.52
1/1/2010 11:00,35.57,36.9,1.98
1/1/2010 12:00,33.84,38.1,1.02
1/1/2010 13:00,32.81,40.7,0.45
1/1/2010 14:00,33.72,40.4,0.95
1/1/2010 15:00,34.92,40.7,1.62
1/1/2010 16:00,36.97,42.1,2.76
1/1/2010 17:00,37.62,38.5,3.12
1/1/2010 18:00,41.14,38.6,5.08
1/1/2010 19:00,42.54,37.1,5.86
1/1/2010 20:00,45.41,38.7,7.45
1/1/2010 21:00,45.15,36.3,7.31
1/1/2010 22:00,45.49,36.9,7.49
1/1/2010 23:00,46.40,37.6,8.00
1/2/2010 0:00,46.68,38.9,8.16
1/2/2010 1:00,46.61,37.8,8.11
1/2/2010 2:00,45.86,38.2,7.70
1/2/2010 3:00,45.25,38.7,7.36
1/2/2010 4:00,45.52,37.5,7.51
1/2/2010 5:00,46.29,37.7,7.94
1/2/2010 6:00,46.52,38.3,8.06
1/2/2010 7:00,46.97,38.3,8.32
1/2/2010 8:00,45.92,37.7,7.73
1/2/2010 9:00,45.51,36,7.51
1/2/2010 10:00,45.68,34.2,7.60
1/2/2010 11:00,46.64,33.9,8.14
1/2/2010 12:00,48.40,31.2,9.11
1/2/2010 13:00,48.96,29.7,9.42
1/2/2010 14:00,48.09,29.8,8.94
1/2/2010 15:00,47.95,31.2,8.86
1/2/2010 16:00,44.59,32.9,7.00
1/2/2010 17:00,42.82,33.1,6.01
1/2/2010 18:00,37.83,32.5,3.24
1/2/2010 19:00,35.47,34.8,1.93
1/2/2010 20:00,33.81,38.3,1.00
1/2/2010 21:00,34.44,33.7,1.36
1/2/2010 22:00,33.23,35.6,0.68
1/2/2010 23:00,32.97,37.7,0.54
1/3/2010 0:00,32.22,35.5,0.12
1/3/2010 1:00,33.82,40.7,1.01
1/3/2010 2:00,31.15,40,-0.47
1/3/2010 3:00,29.13,47.3,-1.59
1/3/2010 4:00,28.87,43.8,-1.74
1/3/2010 5:00,29.17,47.5,-1.57
1/3/2010 6:00,29.48,47.4,-1.40
1/3/2010 7:00,30.77,43.8,-0.68
1/3/2010 8:00,31.20,48.1,-0.45
1/3/2010 9:00,33.02,41,0.57
1/3/2010 10:00,34.19,38.8,1.22
1/3/2010 11:00,35.54,35.7,1.97
1/3/2010 12:00,36.20,36.2,2.34
1/3/2010 13:00,36.94,35.1,2.74
1/3/2010 14:00,37.92,35.3,3.29
1/3/2010 15:00,37.89,35.9,3.27
1/3/2010 16:00,37.79,32.2,3.21
1/3/2010 17:00,35.99,36.2,2.22
1/3/2010 18:00,35.21,34.2,1.78
1/3/2010 19:00,35.92,38.9,2.18
1/3/2010 20:00,36.78,35.3,2.66
1/3/2010 21:00,35.93,35.8,2.18
1/3/2010 22:00,34.62,38.6,1.46
1/3/2010 23:00,34.50,38.2,1.39
1/4/2010 0:00,33.34,42.5,0.75
1/4/2010 1:00,32.90,39.9,0.50
1/4/2010 2:00,33.42,40,0.79
1/4/2010 3:00,32.97,39.8,0.54
1/4/2010 4:00,33.30,40.7,0.72
1/4/2010 5:00,33.30,69.9,0.72
1/4/2010 6:00,33.37,72.7,0.76
1/4/2010 7:00,33.97,61.9,1.10
1/4/2010 8:00,33.70,64.8,0.95
1/4/2010 9:00,33.99,64.9,1.10
1/4/2010 10:00,34.48,64.6,1.38
1/4/2010 11:00,35.00,65.1,1.67
1/4/2010 12:00,35.46,63.5,1.92
1/4/2010 13:00,35.34,65.5,1.86
1/4/2010 14:00,35.30,66.2,1.83
1/4/2010 15:00,35.88,57.6,2.16
1/4/2010 16:00,35.83,54.3,2.13
1/4/2010 17:00,35.59,53.2,2.00
1/4/2010 18:00,35.22,28.3,1.79
1/4/2010 19:00,34.94,33.1,1.64
1/4/2010 20:00,34.67,38.7,1.48
1/4/2010 21:00,34.85,39.3,1.58
1/4/2010 22:00,35.37,39,1.87
1/4/2010 23:00,35.18,39.3,1.77
1/5/2010 0:00,35.23,37.4,1.80
1/5/2010 1:00,35.43,38.7,1.90
1/5/2010 2:00,35.08,40.1,1.71
1/5/2010 3:00,35.12,37.7,1.73
1/5/2010 4:00,35.16,41.4,1.76
1/5/2010 5:00,35.22,65.3,1.79
1/5/2010 6:00,35.16,62.7,1.76
1/5/2010 7:00,35.32,56.7,1.85
1/5/2010 8:00,34.79,60.5,1.55
1/5/2010 9:00,34.79,64.8,1.55
1/5/2010 10:00,35.24,61.7,1.80
1/5/2010 11:00,36.25,62.7,2.36
1/5/2010 12:00,37.42,56.3,3.01
1/5/2010 13:00,38.68,54.9,3.71
1/5/2010 14:00,39.57,55.5,4.20
1/5/2010 15:00,39.46,52.2,4.15
1/5/2010 16:00,39.16,51.2,3.98
1/5/2010 17:00,39.32,47.8,4.06
1/5/2010 18:00,38.68,25.7,3.71
1/5/2010 19:00,38.30,31.7,3.50
1/5/2010 20:00,37.89,33.9,3.27
1/5/2010 21:00,37.28,32.4,2.93
1/5/2010 22:00,37.02,34.4,2.79
1/5/2010 23:00,37.98,35.1,3.32
1/6/2010 0:00,37.67,32.6,3.15
1/6/2010 1:00,37.91,38,3.29
1/6/2010 2:00,37.82,32.8,3.23
1/6/2010 3:00,37.39,36,3.00
1/6/2010 4:00,36.75,34.1,2.64
1/6/2010 5:00,36.16,67.7,2.31
1/6/2010 6:00,35.73,75,2.07
1/6/2010 7:00,33.61,58.4,0.89
1/6/2010 8:00,33.81,59.9,1.01
1/6/2010 9:00,35.15,57.6,1.75
1/6/2010 10:00,37.30,58.3,2.94
1/6/2010 11:00,38.86,58.5,3.81
1/6/2010 12:00,39.37,60.5,4.09
1/6/2010 13:00,39.86,54.6,4.37
1/6/2010 14:00,40.27,52.4,4.59
1/6/2010 15:00,38.78,53.1,3.76
1/6/2010 16:00,36.45,51.3,2.47
1/6/2010 17:00,34.68,55.4,1.49
1/6/2010 18:00,33.04,26.2,0.58
1/6/2010 19:00,31.04,31.4,-0.53
1/6/2010 20:00,30.75,41.9,-0.69
1/6/2010 21:00,29.66,41.8,-1.30
1/6/2010 22:00,29.31,48.5,-1.50
1/6/2010 23:00,29.35,49.6,-1.47
1/7/2010 0:00,28.95,45.6,-1.69
1/7/2010 1:00,27.86,45.8,-2.30
1/7/2010 2:00,27.54,47.7,-2.48
1/7/2010 3:00,25.77,49.1,-3.46
1/7/2010 4:00,25.33,50.6,-3.71
1/7/2010 5:00,24.67,87.5,-4.07
1/7/2010 6:00,22.84,100.3,-5.09
1/7/2010 7:00,23.72,84,-4.60
1/7/2010 8:00,25.26,79.6,-3.75
1/7/2010 9:00,27.32,70.5,-2.60
1/7/2010 10:00,28.96,71.6,-1.69
1/7/2010 11:00,30.47,68.4,-0.85
1/7/2010 12:00,31.10,63.4,-0.50
1/7/2010 13:00,31.68,65.7,-0.18
1/7/2010 14:00,31.74,62.8,-0.14
1/7/2010 15:00,31.96,60.2,-0.02
1/7/2010 16:00,31.84,62.2,-0.09
1/7/2010 17:00,31.84,59.8,-0.09
1/7/2010 18:00,31.66,30.4,-0.19
1/7/2010 19:00,31.40,40.7,-0.33
1/7/2010 20:00,31.13,42.2,-0.48
1/7/2010 21:00,31.10,42.4,-0.50
1/7/2010 22:00,30.18,46.5,-1.01
1/7/2010 23:00,28.95,47,-1.69
1/8/2010 0:00,29.17,44.1,-1.57
1/8/2010 1:00,30.17,41.7,-1.02
1/8/2010 2:00,30.26,42.3,-0.96
1/8/2010 3:00,30.63,44.5,-0.76
1/8/2010 4:00,30.64,44,-0.75
1/8/2010 5:00,31.00,73.6,-0.56
1/8/2010 6:00,30.67,77.8,-0.74
1/8/2010 7:00,29.25,64,-1.53
1/8/2010 8:00,28.60,65.1,-1.89
1/8/2010 9:00,31.13,60.3,-0.48
1/8/2010 10:00,33.23,62.8,0.68
1/8/2010 11:00,34.24,60.6,1.25
1/8/2010 12:00,35.10,58.7,1.72
1/8/2010 13:00,35.73,56,2.07
1/8/2010 14:00,36.24,55.8,2.36
