Date,OAT (F),Building 7 kW,OAT (C)
1/1/2011 0:00,17.04,47.9,-8.31
1/1/2011 1:00,15.70,62.5,-9.05
1/1/2011 2:00,14.57,61.4,-9.68
1/1/2011 3:00,13.72,61.7,-10.16
1/1/2011 4:00,13.72,69.5,-10.16
1/1/2011 5:00,13.86,59.5,-10.08
1/1/2011 6:00,15.11,65.4,-9.38
1/1/2011 7:00,13.93,59.3,-10.04
1/1/2011 8:00,14.41,52.3,-9.77
1/1/2011 9:00,17.75,48.5,-7.92
1/1/2011 10:00,20.35,44.3,-6.47
1/1/2011 11:00,22.23,40,-5.43
1/1/2011 12:00,23.50,38.8,-4.72
1/1/2011 13:00,24.89,34.4,-3.95
1/1/2011 14:00,25.21,33.8,-3.77
1/1/2011 15:00,24.86,33.4,-3.97
1/1/2011 16:00,23.32,39.3,-4.82
1/1/2011 17:00,21.60,40.6,-5.78
1/1/2011 18:00,20.39,45.9,-6.45
1/1/2011 19:00,18.74,45.8,-7.37
1/1/2011 20:00,17.51,49.1,-8.05
1/1/2011 21:00,17.12,50.4,-8.27
1/1/2011 22:00,15.70,47.7,-9.06
1/1/2011 23:00,16.70,51.6,-8.50
1/2/2011 0:00,17.20,49.5,-8.22
1/2/2011 1:00,17.29,54.4,-8.17
1/2/2011 2:00,17.65,53.2,-7.97
1/2/2011 3:00,17.28,48.9,-8.18
1/2/2011 4:00,16.42,53.5,-8.66
1/2/2011 5:00,15.18,49.9,-9.34
1/2/2011 6:00,15.88,53.1,-8.95
1/2/2011 7:00,17.84,50.6,-7.87
1/2/2011 8:00,18.07,50.6,-7.74
1/2/2011 9:00,21.08,46.3,-6.07
1/2/2011 10:00,23.07,38.5,-4.96
1/2/2011 11:00,24.51,36.6,-4.16
1/2/2011 12:00,25.88,33.6,-3.40
1/2/2011 13:00,27.19,34.2,-2.67
1/2/2011 14:00,28.12,28.8,-2.16
1/2/2011 15:00,28.08,31.2,-2.18
1/2/2011 16:00,26.38,32.8,-3.12
1/2/2011 17:00,24.38,34.3,-4.23
1/2/2011 18:00,22.75,35.9,-5.14
1/2/2011 19:00,21.26,40.6,-5.97
1/2/2011 20:00,19.09,42.9,-7.17
1/2/2011 21:00,18.53,47.8,-7.48
1/2/2011 22:00,16.33,46.4,-8.71
1/2/2011 23:00,16.35,50.1,-8.70
1/3/2011 0:00,17.06,52.2,-8.30
